draw,pi_theta,pi_a,q0,q2_0,H,c_e_star,W_status_quo,W_full_arch,gain_pct
0,0.33841183847153383,0.015839624744643177,0.266087857168529,0.5259001067191458,94.3414198827331,16.81716165354331,179.522294767738,227.4532174345249,26.699147718002866
1,0.33359756350823344,0.15476188612232905,0.14115864468285627,0.4191360919177246,124.47621559078172,39.0252919730263,154.51366446562923,226.19459537993868,46.39132154570996
2,0.22254322828336792,0.0508255328885142,0.02618350551887401,0.24743816230975707,88.74783790301746,18.649843117907324,180.9239444773957,224.76588626042712,24.232249584028356
3,0.43769331343795076,0.015455189481798748,0.0711726170463978,0.47311640388149667,106.52361064811888,32.94996572248077,169.13870895720433,230.94411690386625,36.54125559294649
5,0.42843678671729324,0.015266728010688988,0.05747389590471061,0.3772944792627257,80.15120891478765,28.908477793566654,177.2720714555454,233.41375767323288,31.669786310228893
6,0.22404819389590366,0.13869610523576914,0.1273590418567422,0.3428156805611112,95.57762898336111,16.07090094385691,180.01992082419548,223.80844239519178,24.324264431690004
7,0.5589242901340472,0.2307641543273461,0.011822213562265389,0.17910164308881957,82.98612123327854,14.335725665981407,192.6681329001621,239.6457005921513,24.382635044443123
8,0.7132718209888955,0.06338919738671418,0.0182221819905863,0.22061198006116778,143.78264549749827,27.15184157128226,184.63432659037437,244.22473126994754,32.274824394804504
10,0.44377767879402785,0.10391014795617097,0.06133445564980898,0.4592331777341586,54.4910619392329,23.052911800091138,183.59657936766712,234.57315497488696,27.765536690710935
11,0.07519807525140118,0.1107294898236694,0.23084637263357943,0.4340906571059292,74.09705750056847,13.682737972344581,179.47521738453514,217.72737092450126,21.313334563628835
12,0.7065660381584962,0.20479425295647724,0.055511734400701715,0.20472858388001852,117.76586736128574,13.654975138855933,190.21408997857523,243.55591948171423,28.04304849821964
13,0.5866725569968674,0.12965111858700268,0.046654891574919935,0.37674661502030704,142.48084293120272,10.74578474158769,187.33391593735237,232.9527159702066,24.351596882280482
14,0.6136705361114748,0.03720141939898459,0.15443007866921044,0.164292686257512,129.68170883251616,16.979222258993012,190.40489722139154,242.90773491103897,27.574310564397013
16,0.688091755901582,0.03821213221658132,0.05990421224820467,0.3609964066955417,89.36304568320283,19.539732908561483,193.58472981302535,243.8615062359224,25.971457806334776
17,0.5122197025609203,0.00540782018604172,0.032058035747860425,0.16212527702679877,59.91131415798755,35.30724854793259,179.0879544781978,240.48642558417288,34.283975873681534
19,0.7110656608311285,0.1234286574979277,0.029508715553742286,0.5942460484075114,115.2587340560102,34.13175483841232,165.4689343501583,235.4450789992676,42.28959648765778
20,0.43824634743081053,0.0838334269158071,0.003038619888607049,0.8637612311365918,145.88802459090803,34.026525282552896,154.21717662166316,218.74084520846156,41.839482475478455
21,0.7271332123897274,0.11753863601550764,0.43768997768647616,0.446983382455634,129.92447165120666,24.764596467262873,156.29896925872885,239.40514961727246,53.17129137363288
22,0.3027882817444745,0.03126637096421666,0.014084134121172057,0.45615013341277916,64.77833725421917,38.083823901272325,164.37618988713606,227.94242261337305,38.67119244574462
23,0.09793263421693786,0.3191377313010135,0.0477825522483865,0.2599562348311799,62.192167833511256,27.64773999907662,166.44941996220126,218.91465461701353,31.520226785245942
24,0.17393542414098964,0.32342934107528,0.0068044094631218195,0.3324576631351415,149.91047304742386,29.970542083196108,160.21819450301007,219.7728773855756,37.170986146299796
25,0.37707849918690517,0.03779239110312543,0.027761189286791565,0.24001283719885347,130.14818108594153,17.156584618821654,186.20806037312275,230.65628802978932,23.870195289936134
26,0.02496477098448765,0.1528761515322419,0.012697554645032458,0.353691912695302,65.52129924410909,32.038632758054845,160.27795334813882,215.6270593790638,34.53319990348361
27,0.15354047498976947,0.04591719429566324,0.015087936544765939,0.6273209363927413,95.85606424584898,33.52242845024224,161.39572428492406,219.8483148850727,36.216938744274216
28,0.30277452143065653,0.0746578494634579,0.04074688599426698,0.1709366444885404,63.40946098727653,18.34226637343772,185.3574179561109,229.46560096645425,23.796286923238924
29,0.5170644880873049,0.15408153963999732,0.1435417703701277,0.21134316580924425,106.5771900431921,31.06006543331114,170.69560540802038,237.03245504942728,38.8626581702788
30,0.25810835593974707,0.051985445487793255,0.11996526826997529,0.40975906480183366,129.98704107638366,19.43352075232604,175.8995344480815,223.8351068087586,27.2516766522914
31,0.17246129073286404,0.13741149968769478,0.10491915430474437,0.30440688966939755,87.22615731915482,14.608386971819044,181.25742900607833,222.01016636099087,22.48334734657741
32,0.09186781468034484,0.040869450205896385,0.1027516718190202,0.4264752353892518,133.6304290550238,39.67399008050816,153.2332983028268,217.78277133224788,42.12496483750901
33,0.11321057645985343,0.07021425347546267,0.09311442892293183,0.3831720927395932,73.28522849437063,18.76177990943585,176.26114780409935,219.53142447074777,24.548958863435963
34,0.748980265332865,0.08463236104146447,0.15185205259857085,0.3272174420525521,134.44788732871865,24.477175257618818,176.33869381177976,243.02382722417198,37.81650638944311
35,0.4514168458442326,0.1794126715472849,0.016762744002099338,0.2815655842918953,52.48231317985726,37.8238137551208,170.03646437342547,235.94862301290792,38.76354338604071
36,0.7268134517369444,0.11365155619801177,0.10094597960863592,0.3806598123030644,61.41040711836372,31.97240508981363,182.8829561772403,247.54090546045236,35.354825094006614
37,0.15483318765774795,0.3084275087143494,0.1063005889609832,0.2078634865247876,96.4973456193653,39.33750937221521,154.238607215339,220.9327162864792,43.24086574383142
38,0.3124112322669674,0.10191024898457297,0.008861886738208206,0.4080625073114842,136.5456548055663,32.18294405429529,164.56799327502068,225.16668990259737,36.822893335222304
39,0.6080656249297756,0.1134574420871042,0.08925403826981959,0.47732079692126017,84.80314234095144,35.60034013432178,169.8609409287403,238.73935605087541,40.54988436160309
40,0.3531622430487934,0.19415685454468598,0.007161498897343398,0.7349387452523259,107.48719296230335,39.92740111788751,153.4732679609311,224.30105135523044,46.14991544477282
41,0.14653728795607324,0.06732407434431287,0.03289016916300159,0.1305909619179074,145.9209272844576,32.558893647247466,163.53702054173135,221.20217106658217,35.26122118027449
42,0.22873914482056343,0.07752403974917897,0.09842341939263237,0.17454090406682088,137.43143652908074,18.497407997503423,178.50911044984372,224.60879657501806,25.824836619824577
43,0.4857545598027311,0.09232811658718734,0.09615167325514411,0.15886064602257338,145.5349428187811,25.38196192900334,176.75207819528794,235.76594183562256,33.387931979578774
44,0.7649285580718406,0.02966399079785872,0.04076025132550938,0.3472800754146232,119.81897256099134,16.210616245744358,196.5598863202325,243.96503847909474,24.117409226433143
45,0.392159503606634,0.018121973408217792,0.079090341308753,0.67286755589132,82.24904409677299,17.27448559084998,183.28058993314468,228.29082825624778,24.55810423761812
46,0.0618923764947666,0.06525348627747404,0.0725174748608977,0.3286469523503406,53.12835129016445,13.318884026866098,180.5448246674683,217.4640606050449,20.448792152073757
47,0.023534411062409666,0.35796684402354284,0.0666788255665277,0.25590556914606916,110.34244543333214,39.53948600852931,152.06324170121724,215.38589787658233,41.642316359258714
48,0.4548842184063413,0.072723322299524,0.031069400511014866,0.12347175154658649,120.80912356835879,32.15741159372148,175.02332421803604,235.95861361855034,34.81552511515774
49,0.4260330233671564,0.043066044170988485,0.021610086720896805,0.2620431041421383,139.73021997540937,36.41140900383077,167.3732640657551,232.04333656730563,38.63823344936615
50,0.3687713880815045,0.12264715040405612,0.08454704431020021,0.5576291437473865,105.35408400896114,21.88499500177747,174.4328350775999,226.90485404683042,30.081503259341808
51,0.31058154922927383,0.15558249170432886,0.002763506782421068,0.2548109616834779,118.25815982092203,14.481224691044524,184.19237673924846,227.1281241504645,23.310273840484683
52,0.09218098839443352,0.1414456203309164,0.17577994185098156,0.19900612961780642,140.397329087804,35.96717617963084,156.43795965903422,218.29703388721794,39.54224049138024
53,0.11662097401465453,0.0036263863541308276,0.04378630911070937,0.3362305933594666,110.17747558677084,38.06144108699485,157.16950492196537,219.4511698291446,39.62706692885624
54,0.2901698408649484,0.022087972721255185,0.07692423761160742,0.12802307972477106,70.2088101645478,15.572984046132614,188.0907908403134,229.20757512318423,21.860073052581534
55,0.31553329197552393,0.02975950200700216,0.09379993932286981,0.34772460298487623,148.4568608250754,39.471000493135975,157.6716669458085,226.22092665817513,43.475952934478
56,0.15147182510844534,0.10335688972585205,0.1583851169799254,0.26453838854208356,123.51294275196334,18.880985887300774,175.083086996816,220.78217818038397,26.101373906206614
58,0.725321390786298,0.1498203218665777,0.1352119312197966,0.3785336812245114,93.45630846976903,13.952644986762024,191.27194131447914,243.69214914157766,27.406114805366045
59,0.24870761444084763,0.015521185594797158,0.0345193183249189,0.3550700201764972,90.04512452452784,25.956582740382043,174.07799119805156,225.35640924115506,29.457151757204706
60,0.39024420635903095,0.10743837281148819,0.07017871417399288,0.295391700093434,71.19546110805426,37.713499482795406,166.6378680582074,232.4423050227341,39.489485632125884
61,0.2064287662163448,0.1419674659468038,0.016541979881502678,0.5945351589851307,96.10994301549076,29.798539033878363,165.27062106650584,221.68182539830858,34.132626820045985
62,0.10837674397674706,0.026358681828482042,0.015210145514776443,0.23062767757475547,86.63354885565363,32.155321380598856,163.61403358539923,219.62159753955973,34.231515920012484
63,0.27041943778265265,0.17838280033045992,0.02946319706386412,0.29895409516710064,116.29097142100953,10.592993360280751,185.83281279175498,225.0383815199461,21.097226124497755
64,0.2144426377826086,0.053509719455317885,0.07603128338993957,0.3873000075235591,120.13911012434323,38.587674054566975,157.50373298124933,222.76711101029724,41.43608331925534
65,0.04973008672566229,0.10369912724767784,0.011137068544171663,0.43874043516042427,82.22156738229383,26.336452061240188,166.60077925006533,216.57277322910141,29.995054167201015
66,0.6306241476930432,0.17741323163977096,0.1458972542912215,0.6465775790875302,114.48191943592904,18.679604083070036,172.2662212641242,231.71449598919793,34.50953662815051
67,0.42945278439492196,0.19859536407786624,0.0028099737612390006,0.6466466963762741,89.00625901565292,39.95828545035748,158.20725138063094,229.2404460090318,44.89882354222947
68,0.12008082448399303,0.04712441650372479,0.05641932380314393,0.6507548426142387,67.63563800080759,22.704861840389615,172.1782628702393,219.30660270923076,27.37182908768764
